Date,Open,High,Low,Close,Volume
2025-10-09,398.50,405.00,396.50,401.80,112000000
2025-10-10,402.00,408.50,400.00,405.10,115000000
2025-10-13,405.50,410.00,403.50,407.20,110000000
2025-10-14,407.50,412.50,405.00,409.50,108000000
2025-10-15,410.00,415.00,408.50,412.10,113000000
2025-10-16,412.50,418.00,410.00,415.60,118000000
2025-10-17,416.00,422.00,414.50,419.20,121000000
2025-10-20,419.50,425.00,418.00,422.50,125000000
2025-10-21,422.00,428.50,420.50,425.10,128000000
2025-10-22,425.50,432.00,424.00,430.20,135000000
2025-10-23,431.00,438.50,428.00,435.50,142000000
2025-10-24,436.00,442.00,434.00,439.10,138000000
2025-10-27,439.50,445.00,437.50,441.20,130000000
2025-10-28,441.00,448.50,439.00,444.50,132000000
2025-10-29,445.00,452.00,442.50,448.20,136000000
2025-10-30,448.50,455.00,446.00,451.50,140000000
2025-10-31,452.00,458.50,450.00,455.10,145000000
2025-11-03,455.00,460.00,452.50,456.80,138000000
2025-11-04,457.00,462.50,454.00,458.20,135000000
2025-11-05,458.50,465.00,456.50,461.50,141000000
2025-11-06,462.00,468.00,460.00,465.10,148000000
2025-11-07,465.00,470.50,463.00,468.20,152000000
2025-11-10,468.50,472.00,465.00,469.50,145000000
2025-11-11,469.00,474.50,466.50,471.20,148000000
2025-11-12,471.00,476.00,468.00,473.50,155000000
2025-11-13,473.50,478.50,470.00,475.10,160000000
2025-11-14,475.00,479.20,471.50,474.80,158000000
2025-11-17,474.50,478.00,468.00,470.20,162000000
2025-11-18,470.00,475.00,465.00,468.50,155000000
2025-11-19,468.50,472.00,462.50,466.10,148000000
2025-11-20,466.00,470.00,460.00,464.50,142000000
2025-11-21,464.50,468.00,458.50,462.20,138000000
2025-11-24,462.00,466.50,457.00,460.50,135000000
2025-11-25,460.50,465.00,455.00,458.10,132000000
2025-11-26,458.00,462.00,454.00,456.50,128000000
2025-11-28,456.50,460.00,452.00,455.20,85000000
2025-12-01,455.00,459.50,451.00,454.10,125000000
2025-12-02,454.00,458.00,450.00,452.80,120000000
2025-12-03,452.50,456.00,448.00,451.20,118000000
2025-12-04,451.00,455.00,446.50,449.50,115000000
2025-12-05,449.50,454.00,445.00,448.20,112000000
2025-12-08,448.00,452.50,444.00,446.80,110000000
2025-12-09,446.50,451.00,442.50,445.50,108000000
2025-12-10,445.50,450.00,441.00,444.20,105000000
2025-12-11,444.00,448.50,440.00,442.80,102000000
2025-12-12,442.50,446.00,438.00,441.50,100000000
2025-12-15,441.50,445.50,436.50,440.20,98000000
2025-12-16,440.00,444.00,435.00,438.50,96500000
2025-12-17,438.50,442.50,434.00,437.20,95000000
2025-12-18,437.00,441.00,432.50,435.80,92500000
2025-12-19,435.50,440.00,431.00,434.50,91000000
2025-12-22,434.50,438.50,430.00,433.20,88000000
2025-12-23,433.00,437.00,428.50,432.10,85000000
2025-12-24,432.00,435.00,428.00,431.50,55000000
2025-12-26,431.50,436.00,429.00,433.80,78000000
2025-12-29,434.00,438.50,431.00,435.20,82000000
2025-12-30,435.50,440.00,432.50,437.10,85000000
2025-12-31,437.00,442.50,435.00,440.50,88000000
2026-01-02,440.50,446.00,438.00,444.20,95000000
2026-01-05,444.00,449.50,441.50,447.80,98500000
2026-01-06,447.50,453.00,445.00,450.50,102000000
2026-01-07,450.00,456.50,448.50,453.20,105000000
2026-01-08,453.00,459.00,451.00,456.50,108000000
2026-01-09,456.50,462.50,454.50,459.80,112000000
2026-01-12,459.50,465.00,457.00,462.50,115000000
2026-01-13,462.50,467.50,459.50,464.20,110000000
2026-01-14,464.00,468.00,460.00,463.10,108000000
2026-01-15,463.00,466.50,458.00,461.50,105000000
2026-01-16,461.50,465.00,456.50,460.20,102000000
2026-01-20,460.00,464.00,455.00,458.80,98000000
2026-01-21,458.50,462.50,453.50,457.10,95000000
2026-01-22,457.00,460.00,451.50,455.50,92000000
2026-01-23,455.50,459.00,450.00,453.80,89000000
2026-01-26,453.00,457.50,448.50,452.10,87000000
2026-01-27,452.00,456.00,447.00,450.50,85000000
2026-01-28,450.50,454.50,445.00,448.20,83000000
2026-01-29,448.00,452.00,442.50,446.50,81000000
2026-01-30,446.50,450.00,440.00,444.10,79000000
2026-02-02,444.00,448.00,438.00,441.50,77000000
2026-02-03,441.50,445.00,435.00,438.20,75000000
2026-02-04,438.00,442.00,432.00,435.10,73000000
2026-02-05,435.00,439.00,429.00,432.50,71000000
2026-02-06,400.87,414.55,397.75,411.11,91239100

